id,url,spawn,hunt_date,duration,minutes,party_size,party_comp,min_lvl,max_lvl,avg_lvl,has_creature_stats,xp_gain,raw_xp_gain,balance,supplies_total,loot_total,supplies_known,xp_h,raw_xp_h,balance_h,loot_h,query_min,query_max,query_party,query_search
24692,https://www.hunt-analyser.com/hunt_sessions/24692,Cults yalahar,"Feb 17, 2025 08:24",01:08h,68,1,ED 95,95,95,95,1,332790,0,192348,54593,246941,1,293638,0,169718,217889.0,0,0,,cults
2884,https://www.hunt-analyser.com/hunt_sessions/2884,Nightmare Scion Task,"May 30, 2024 15:38",00:53h,53,1,RP 90,90,90,90,1,890928,593953,-19045,49539,30494,1,1008597,672399,-21561,34522.0,50,100,Solo,
29463,https://www.hunt-analyser.com/hunt_sessions/29463,Monk Hunt #7 Middle Spike,"May 02, 2025 20:03",01:34h,94,1,EM 53,53,53,53,1,1689090,563030,-91873,166930,75057,1,1078142,359380,-58643,47909.0,50,100,Solo,
29500,https://www.hunt-analyser.com/hunt_sessions/29500,Monk Hunt #8 Middle Spike,"May 03, 2025 11:32",01:03h,63,1,EM 64,64,64,64,1,1799686,487047,-64367,109822,45455,1,1713986,463854,-61302,43290.0,50,100,Solo,
29576,https://www.hunt-analyser.com/hunt_sessions/29576,Monk Hunt #9 Middle Spike,"May 04, 2025 13:55",00:44h,44,1,EM 74,74,74,74,1,1397340,465780,-56842,98948,42106,1,1905463,635154,-77512,57417.0,50,100,Solo,
29641,https://www.hunt-analyser.com/hunt_sessions/29641,Monk Hunt #10 Last Middle Spike Hunt :(,"May 05, 2025 17:31",00:30h,30,1,EM 79,79,79,79,1,555502,370335,-30887,60983,30096,1,1111004,740670,-61774,60192.0,50,100,Solo,
29651,https://www.hunt-analyser.com/hunt_sessions/29651,Monk Hunt #11,"May 05, 2025 21:46",00:20h,20,1,EM 81,81,81,81,1,404672,269782,4222,41312,45534,1,1214016,809346,12666,136602.0,50,100,Solo,
29679,https://www.hunt-analyser.com/hunt_sessions/29679,Monk Hunt #12 Feyrist Dark Cave,"May 06, 2025 16:42",00:31h,31,1,EM 88,88,88,88,1,564285,376190,21272,81548,102820,1,1092164,728109,41171,199006.0,50,100,Solo,
29732,https://www.hunt-analyser.com/hunt_sessions/29732,Monk Hunt #13,"May 07, 2025 17:16",00:31h,31,1,EM 92,92,92,92,1,1183053,542805,-39815,87648,47833,1,2289780,1050590,-77062,92580.0,50,100,Solo,
29859,https://www.hunt-analyser.com/hunt_sessions/29859,Monk Hunt #14 Feyrist Dark Creatures,"May 10, 2025 21:52",00:33h,33,1,EM 96,96,96,96,1,767254,511504,11560,82570,94130,1,1395007,930007,21018,171145.0,50,100,Solo,
30000,https://www.hunt-analyser.com/hunt_sessions/30000,Monk Hunt #15 Feyrist Dark Creatures,"May 13, 2025 21:10",01:15h,75,1,EM 98,98,98,98,1,1821030,1214020,81587,181166,262753,1,1456824,971216,65269,210202.0,50,100,Solo,
36270,https://www.hunt-analyser.com/hunt_sessions/36270,MoTA - Fury lvl 48,"Sep 06, 2025 12:07",00:50h,50,1,ED 63,63,63,63,1,817807,0,47589,100172,147761,1,981368,0,57106,177313.0,50,100,Solo,
36271,https://www.hunt-analyser.com/hunt_sessions/36271,Ancient Scarabs - Ankrahmun lvl 55,"Sep 07, 2025 00:41",01:17h,77,1,ED 63,63,63,63,1,1157895,0,-71664,76007,4343,1,902255,0,-55843,3384.0,50,100,Solo,
52279,https://www.hunt-analyser.com/hunt_sessions/52279,Crypt Warrior,"Jul 28, 2026 09:45",00:28h,28,1,,,,75,1,3942178,2628120,317916,0,317916,0,8447524,5631685,681248,681249.0,50,100,Solo,
52560,https://www.hunt-analyser.com/hunt_sessions/52560,Edron Vampire Crypts,"Jul 31, 2026 11:55",00:37h,37,1,EM 82,82,82,82,1,199439,132984,13256,25303,38559,1,323414,215649,21496,62528.0,0,0,,vampire
52572,https://www.hunt-analyser.com/hunt_sessions/52572,Port Hope Spider Cave,"Jul 31, 2026 15:40",01:00h,60,1,EM 82,82,82,82,1,376290,250860,11549,51679,63228,1,376290,250860,11549,63228.0,50,100,Solo,
52667,https://www.hunt-analyser.com/hunt_sessions/52667,Port Hope Spider Cave,"Aug 01, 2026 17:33",01:00h,60,1,EM 84,84,84,84,1,616481,277452,-6279,58978,52699,1,616481,277452,-6279,52699.0,50,100,Solo,
52773,https://www.hunt-analyser.com/hunt_sessions/52773,Port Hope Water Elementals (South),"Aug 02, 2026 21:36",00:32h,32,1,EM 88,88,88,88,1,198270,132180,2095,19052,21147,1,371756,247837,3928,39651.0,50,100,Solo,
52823,https://www.hunt-analyser.com/hunt_sessions/52823,Liberty Bay Quara Grotto,"Aug 03, 2026 13:40",00:22h,22,1,EM 90,90,90,90,1,133995,89330,5960,18468,24428,1,365440,243627,16254,66622.0,0,0,,quara
53124,https://www.hunt-analyser.com/hunt_sessions/53124,Yalahar Bog Raiders Central,"Aug 06, 2026 16:03",00:30h,30,1,EM 94,94,94,94,1,314671,209781,-8630,46342,37712,1,629342,419562,-17260,75424.0,50,100,Solo,
57092,https://www.hunt-analyser.com/hunt_sessions/57092,Norc Castle,"Sep 17, 2026 03:56",00:15h,15,1,ED 80,80,80,80,1,1724892,1724892,219613,112302,331915,1,6899568,6899568,878452,1327660.0,50,100,Solo,
7709,https://www.hunt-analyser.com/hunt_sessions/7709,Cults Yalahar,"Oct 30, 2024 22:41",01:12h,72,1,MS 52,52,52,52,1,268877,179252,142027,48607,190634,1,224064,149376,118355,158862.0,0,0,,cults
7885,https://www.hunt-analyser.com/hunt_sessions/7885,Cults Yalahar,"Nov 01, 2024 20:42",01:57h,117,1,MS 54,54,54,54,1,465898,310599,382630,97118,479748,1,238922,159281,196220,246025.0,0,0,,cults
7991,https://www.hunt-analyser.com/hunt_sessions/7991,Cults Yalahar,"Nov 03, 2024 00:43",01:00h,60,1,MS 61,61,61,61,1,264486,176325,157826,51238,209064,1,264486,176325,157826,209064.0,0,0,,cults
8019,https://www.hunt-analyser.com/hunt_sessions/8019,Cults Yalahar,"Nov 03, 2024 09:58",02:26h,146,1,MS 62,62,62,62,1,573740,382495,346772,124645,471417,1,235783,157189,142509,193733.0,0,0,,cults
8063,https://www.hunt-analyser.com/hunt_sessions/8063,Cults Yalahar,"Nov 03, 2024 19:03",01:12h,72,1,MS 65,65,65,65,1,290684,193792,211486,58372,269858,1,242236,161493,176238,224882.0,0,0,,cults
8186,https://www.hunt-analyser.com/hunt_sessions/8186,Tumba Edron,"Nov 04, 2024 23:02",01:36h,96,1,MS 67,67,67,67,1,406789,271589,349727,78160,427887,1,254243,169743,218579,267429.0,50,100,Solo,
8259,https://www.hunt-analyser.com/hunt_sessions/8259,Tumba Edron,"Nov 05, 2024 21:57",01:38h,98,1,MS 69,69,69,69,1,432826,288998,369927,90642,460569,1,264995,176937,226485,281981.0,50,100,Solo,
1109,https://www.hunt-analyser.com/hunt_sessions/1109,Carlin cults -1-2,"Feb 18, 2024 13:41",00:31h,31,1,EK 127,127,127,127,1,732476,487998,-42890,79985,37095,1,1417695,944512,-83013,71797.0,0,0,,cults
2394,https://www.hunt-analyser.com/hunt_sessions/2394,Barkless at 163,"Apr 27, 2024 09:26",00:30h,30,1,EK 162,162,162,162,1,2210175,1017700,-120612,120612,0,1,4420350,2035400,-241224,0.0,100,200,Solo,
24526,https://www.hunt-analyser.com/hunt_sessions/24526,Vandura Wyrm Lairs,"Feb 15, 2025 10:18",00:56h,56,1,RP 101,101,101,101,1,650470,332010,-7026,43076,36050,1,696932,355725,-7528,38625.0,100,200,Solo,
24985,https://www.hunt-analyser.com/hunt_sessions/24985,Exotic cave,"Feb 18, 2025 23:31",00:26h,26,1,RP 105,105,105,105,1,305787,203859,38533,52244,90777,1,705662,470443,88922,209485.0,100,200,Solo,
27200,https://www.hunt-analyser.com/hunt_sessions/27200,Exotic cave,"Mar 12, 2025 11:01",00:18h,18,1,RP 141,141,141,141,1,367832,245222,63919,21516,85435,1,1226106,817406,213063,284783.0,100,200,Solo,
28023,https://www.hunt-analyser.com/hunt_sessions/28023,Pirat Wreckoning,"Apr 01, 2025 07:51",00:16h,16,1,MS 173,173,173,173,1,1161945,0,112726,55535,168261,1,4357293,0,422722,630979.0,100,200,Solo,
28097,https://www.hunt-analyser.com/hunt_sessions/28097,Feyrist Mountains,"Apr 02, 2025 22:13",00:41h,41,1,RP 170,170,170,170,1,889455,592970,72865,178144,251009,1,1301641,867760,106631,367330.0,100,200,Solo,
28098,https://www.hunt-analyser.com/hunt_sessions/28098,Deep Hub Magma Dungeon,"Apr 02, 2025 23:25",00:20h,20,1,RP 171,171,171,171,1,628092,418728,-86272,86272,0,1,1884276,1256184,-258816,0.0,100,200,Solo,
28101,https://www.hunt-analyser.com/hunt_sessions/28101,Oramond Quaras,"Apr 03, 2025 07:39",00:27h,27,1,MS 178,178,178,178,1,865909,577296,-77421,109568,32147,1,1924242,1282880,-172047,71438.0,0,0,,quara
28952,https://www.hunt-analyser.com/hunt_sessions/28952,[ED] Chosens,"Apr 21, 2025 11:38",01:30h,90,1,ED 171,171,171,171,1,1722860,1148574,126297,108554,234851,1,1148573,765716,84198,156567.0,100,200,Solo,
28973,https://www.hunt-analyser.com/hunt_sessions/28973,dragon hatchling test hunt,"Apr 21, 2025 14:27",00:20h,20,1,MS 116,116,116,116,1,57342,0,-4506,7862,3356,1,172026,0,-13518,10068.0,100,200,Solo,
29000,https://www.hunt-analyser.com/hunt_sessions/29000,Dworcs port hope,"Apr 21, 2025 23:33",00:32h,32,1,,,,150,1,38424,0,4146,0,4146,0,72045,0,7773,7774.0,100,200,Solo,
29002,https://www.hunt-analyser.com/hunt_sessions/29002,Feyrist west,"Apr 22, 2025 01:10",01:08h,68,1,,,,150,1,358215,0,3434,0,3434,0,316072,0,3030,3030.0,100,200,Solo,
29013,https://www.hunt-analyser.com/hunt_sessions/29013,Exotic cave,"Apr 21, 2025 14:46",01:05h,65,1,RP 180,180,180,180,1,2623892,1260595,120806,261222,382028,1,2422054,1163626,111513,352641.0,100,200,Solo,
29183,https://www.hunt-analyser.com/hunt_sessions/29183,vampire edron,"Apr 26, 2025 01:35",00:27h,27,0,,,,,1,137420,0,32948,0,32948,0,305377,0,73217,73218.0,0,0,,vampire
29417,https://www.hunt-analyser.com/hunt_sessions/29417,exotic cave,"May 02, 2025 01:33",00:51h,51,1,,,,150,1,585140,0,13464,0,13464,0,688400,0,15840,15840.0,100,200,Solo,
29458,https://www.hunt-analyser.com/hunt_sessions/29458,edron vampires,"May 02, 2025 11:46",01:43h,103,0,,,,,1,1245336,0,12086,0,12086,0,725438,0,7040,7040.0,0,0,,vampire
29965,https://www.hunt-analyser.com/hunt_sessions/29965,werehyena monk 178,"May 12, 2025 19:15",02:48h,168,1,EM 176,176,176,176,1,2706327,2250996,354870,420760,775630,1,966545,803927,126739,277011.0,0,0,,werehyena
30044,https://www.hunt-analyser.com/hunt_sessions/30044,Monk Hunt #16 Feyrist Dark Cave,"May 14, 2025 19:10",01:15h,75,1,EM 102,102,102,102,1,3621375,1263917,15897,171278,187175,1,2897100,1011133,12717,149740.0,100,200,Solo,
30149,https://www.hunt-analyser.com/hunt_sessions/30149,werehyena monk 184,"May 16, 2025 17:13",01:19h,79,1,EM 183,183,183,183,1,1172962,781975,104888,139730,244618,1,890857,593905,79661,185786.0,0,0,,werehyena
30150,https://www.hunt-analyser.com/hunt_sessions/30150,glooth tower,"May 16, 2025 18:35",00:15h,15,1,EM 183,183,183,183,1,602406,401625,29559,91505,121064,1,2409624,1606500,118236,484256.0,0,0,,glooth
30153,https://www.hunt-analyser.com/hunt_sessions/30153,GLOOTH TOWER MONK 185,"May 16, 2025 18:55",00:31h,31,1,EM 183,183,183,183,1,1467487,978385,5616,236575,242191,1,2840297,1893648,10869,468757.0,0,0,,glooth
30155,https://www.hunt-analyser.com/hunt_sessions/30155,glooth tower monk 186,"May 16, 2025 19:53",00:30h,30,1,EM 183,183,183,183,1,1415692,943842,88729,233218,321947,1,2831384,1887684,177458,643894.0,0,0,,glooth
30160,https://www.hunt-analyser.com/hunt_sessions/30160,glooth tower monk,"May 16, 2025 20:34",00:38h,38,1,EM 183,183,183,183,1,1408544,939082,109863,170644,280507,1,2224016,1482761,173467,442906.0,0,0,,glooth
31405,https://www.hunt-analyser.com/hunt_sessions/31405,werehyaena,"Jun 14, 2025 14:23",00:27h,27,1,,,,150,1,156424,0,5338,0,5338,0,347608,0,11862,11862.0,100,200,Solo,
31418,https://www.hunt-analyser.com/hunt_sessions/31418,Yielothax,"Jun 14, 2025 22:34",00:47h,47,1,MS 118,118,118,118,1,736599,0,-15705,54876,39171,1,940339,0,-20049,50006.0,100,200,Solo,
31920,https://www.hunt-analyser.com/hunt_sessions/31920,Yielothax con soft boots,"Jun 26, 2025 09:44",00:46h,46,1,MS 115,115,115,115,1,270465,0,-7223,23042,15819,1,352780,0,-9422,20633.0,100,200,Solo,
32482,https://www.hunt-analyser.com/hunt_sessions/32482,werehyaena avalanche hunt,"Jul 07, 2025 14:52",00:22h,22,1,,,,150,1,211200,0,9159,0,9159,0,576000,0,24979,24979.0,100,200,Solo,
32487,https://www.hunt-analyser.com/hunt_sessions/32487,Yielothax,"Jul 07, 2025 17:30",00:32h,32,1,,,,150,1,219525,0,-22762,0,-22762,0,411609,0,-42679,-42679.0,100,200,Solo,
32499,https://www.hunt-analyser.com/hunt_sessions/32499,sphinx & lamassu,"Jul 07, 2025 23:56",00:46h,46,1,,,,150,1,520882,0,-77220,0,-77220,0,679411,0,-100722,-100722.0,100,200,Solo,
33108,https://www.hunt-analyser.com/hunt_sessions/33108,exotic cave -1,"Jul 19, 2025 01:34",00:23h,23,1,,,,150,1,199061,0,-2379,0,-2379,0,519289,0,-6207,-6206.0,100,200,Solo,
33187,https://www.hunt-analyser.com/hunt_sessions/33187,wherehyaenas,"Jul 20, 2025 09:31",00:21h,21,1,,,,150,1,144580,0,23344,0,23344,0,413085,0,66697,66697.0,100,200,Solo,
