creature,n_sessions,value_per_kill,min_v,max_v,sample_urls
Iceplume Strider,2,1587,1587,2252,https://www.hunt-analyser.com/hunt_sessions/56613|https://www.hunt-analyser.com/hunt_sessions/56813
Vexclaw,2,2820,2820,2940,https://www.hunt-analyser.com/hunt_sessions/49641|https://www.hunt-analyser.com/hunt_sessions/52228
Grimeleech,2,2940,2820,2940,https://www.hunt-analyser.com/hunt_sessions/49641|https://www.hunt-analyser.com/hunt_sessions/52228
Hellflayer,2,2940,2820,2940,https://www.hunt-analyser.com/hunt_sessions/49641|https://www.hunt-analyser.com/hunt_sessions/52228
Fire Elemental,2,1241,1055,1241,https://www.hunt-analyser.com/hunt_sessions/50901|https://www.hunt-analyser.com/hunt_sessions/50928
Sight of Surrender,2,1490,1446,1490,https://www.hunt-analyser.com/hunt_sessions/51398|https://www.hunt-analyser.com/hunt_sessions/55588
Serpent Spawn,2,683,683,3638,https://www.hunt-analyser.com/hunt_sessions/51555|https://www.hunt-analyser.com/hunt_sessions/49066
Medusa,2,3638,683,3638,https://www.hunt-analyser.com/hunt_sessions/51555|https://www.hunt-analyser.com/hunt_sessions/49066
Dark Apprentice,1,1804,1804,1804,https://www.hunt-analyser.com/hunt_sessions/48650
Dark Magician,1,1804,1804,1804,https://www.hunt-analyser.com/hunt_sessions/48650
Cobra Assassin,1,1583,1583,1583,https://www.hunt-analyser.com/hunt_sessions/49294
Cobra Scout,1,1583,1583,1583,https://www.hunt-analyser.com/hunt_sessions/49294
Cobra Vizier,1,1583,1583,1583,https://www.hunt-analyser.com/hunt_sessions/49294
Metal Gargoyle,1,1611,1611,1611,https://www.hunt-analyser.com/hunt_sessions/50923
Walker,1,1611,1611,1611,https://www.hunt-analyser.com/hunt_sessions/50923
Shock Head,1,1531,1531,1531,https://www.hunt-analyser.com/hunt_sessions/49879
Clay Guardian,1,683,683,683,https://www.hunt-analyser.com/hunt_sessions/51555
Omnivora,1,683,683,683,https://www.hunt-analyser.com/hunt_sessions/51555
Gargoyle,1,683,683,683,https://www.hunt-analyser.com/hunt_sessions/51555
Souleater,1,3638,3638,3638,https://www.hunt-analyser.com/hunt_sessions/49066
Eternal Guardian,1,3638,3638,3638,https://www.hunt-analyser.com/hunt_sessions/49066
Hydra,1,3638,3638,3638,https://www.hunt-analyser.com/hunt_sessions/49066
Terrified Elephant,1,3638,3638,3638,https://www.hunt-analyser.com/hunt_sessions/49066
Scarab,1,3638,3638,3638,https://www.hunt-analyser.com/hunt_sessions/49066
Ancient Scarab,1,3638,3638,3638,https://www.hunt-analyser.com/hunt_sessions/49066
Larva,1,3638,3638,3638,https://www.hunt-analyser.com/hunt_sessions/49066
Bear,1,3638,3638,3638,https://www.hunt-analyser.com/hunt_sessions/49066
Frost Troll,1,3638,3638,3638,https://www.hunt-analyser.com/hunt_sessions/49066
Centipede,1,3638,3638,3638,https://www.hunt-analyser.com/hunt_sessions/49066
Scorpion,1,3638,3638,3638,https://www.hunt-analyser.com/hunt_sessions/49066
The Noxious Spawn,1,3638,3638,3638,https://www.hunt-analyser.com/hunt_sessions/49066
Gorgo,1,3638,3638,3638,https://www.hunt-analyser.com/hunt_sessions/49066
