id,spawn,hunt_date,duration,party_size,party_comp,min_lvl,max_lvl,avg_lvl,xp_h,raw_xp_h,balance_h,has_creature_stats,url
43559,werehyena -2 south,"Feb 14, 2026 01:12",00:35h,1,EM 201,201,201,201,2952334,1968222,41895,,https://www.hunt-analyser.com/hunt_sessions/43559
50582,40 min hyeans -2 south,"Jul 07, 2026 14:58",00:49h,1,RP 277,277,277,277,2952220,1968146,340269,,https://www.hunt-analyser.com/hunt_sessions/50582
40956,Medusa Tower - RP 229 (150%),"Dec 09, 2025 16:04",00:31h,1,RP 228,228,228,228,2938705,0,85656,,https://www.hunt-analyser.com/hunt_sessions/40956
43708,werehyena North,"Feb 18, 2026 04:57",00:49h,1,RP 221,221,221,221,2909123,1939416,313829,,https://www.hunt-analyser.com/hunt_sessions/43708
39090,Pirats,"Oct 31, 2025 16:45",01:07h,1,EM 275,275,275,275,2605971,1737314,627642,,https://www.hunt-analyser.com/hunt_sessions/39090
51253,Lower Spike,"Jul 14, 2026 17:26",00:50h,1,EK 260,260,260,260,2459311,1639596,278344,,https://www.hunt-analyser.com/hunt_sessions/51253
43679,werehyena North,"Feb 17, 2026 11:02",00:53h,1,RP 218,218,218,218,2453613,1635743,219491,,https://www.hunt-analyser.com/hunt_sessions/43679
37610,Walls South,"Oct 01, 2025 12:58",00:55h,1,EK 225,225,225,225,2391709,1594472,294541,,https://www.hunt-analyser.com/hunt_sessions/37610
53187,Medusa Tower,"Aug 07, 2026 00:20",00:41h,1,EK 265,265,265,265,2352645,1568429,245824,,https://www.hunt-analyser.com/hunt_sessions/53187
45096,Werehyena EK 245lvl,"Mar 20, 2026 19:05",01:00h,1,EK 245,245,245,245,2338082,1182178,213796,,https://www.hunt-analyser.com/hunt_sessions/45096
43565,Werehyena north,"Feb 14, 2026 00:40",02:03h,1,RP 214,214,214,214,2263969,1513963,163216,,https://www.hunt-analyser.com/hunt_sessions/43565
39208,Otherworld Kazordoon,"Nov 03, 2025 13:56",00:30h,1,RP 237,237,237,237,2259452,0,-68226,,https://www.hunt-analyser.com/hunt_sessions/39208
50607,buster spectre,"Jul 07, 2026 14:01",00:40h,1,,0,0,250,2230200,0,50034,,https://www.hunt-analyser.com/hunt_sessions/50607
44744,Werehyena South :D,"Mar 11, 2026 19:22",01:18h,1,RP 270,270,270,270,2219461,2115384,311005,,https://www.hunt-analyser.com/hunt_sessions/44744
53352,Lycanthrope Grounds (Edron),"Aug 08, 2026 20:04",00:15h,1,EK 271,271,271,271,2207516,1471680,379412,,https://www.hunt-analyser.com/hunt_sessions/53352
53711,Gnomegate Lava Hot Spot,"Aug 12, 2026 19:52",00:25h,1,EK 276,276,276,276,2131941,1184419,538396,,https://www.hunt-analyser.com/hunt_sessions/53711
42658,Exotic Cave,"Jan 19, 2026 07:30",00:45h,1,RP 208,208,208,208,2014529,1343029,241716,,https://www.hunt-analyser.com/hunt_sessions/42658
53434,Glooth Plains - Surface (Oramond),"Aug 09, 2026 21:39",00:42h,1,EK 273,273,273,273,1974337,1316308,233968,,https://www.hunt-analyser.com/hunt_sessions/53434
45415,Mino Cult 29.03,"Mar 29, 2026 08:51",00:30h,1,EK 252,252,252,252,1897516,843470,456634,,https://www.hunt-analyser.com/hunt_sessions/45415
42631,Glooth Factory - TESTE,"Jan 18, 2026 11:25",00:15h,1,RP 208,208,208,208,1880400,1253600,250328,,https://www.hunt-analyser.com/hunt_sessions/42631
44304,Exotic cave spider weekly task,"Mar 03, 2026 19:45",00:45h,1,ED 287,287,287,287,1846568,0,93525,,https://www.hunt-analyser.com/hunt_sessions/44304
53327,Sea serpent (Svargrond),"Aug 08, 2026 11:45",00:50h,1,EK 270,270,270,270,1684045,1122697,132138,,https://www.hunt-analyser.com/hunt_sessions/53327
52736,Hellspawn (Yalahar),"Aug 02, 2026 08:14",00:30h,1,EK 267,267,267,267,1683640,1122432,208160,,https://www.hunt-analyser.com/hunt_sessions/52736
53326,Hellspawn (Yalahar),"Aug 08, 2026 10:33",00:47h,1,EK 270,270,270,270,1671358,1114242,93012,,https://www.hunt-analyser.com/hunt_sessions/53326
