spawn,n_hunts,median_xp_h,max_xp_h,median_profit_h,max_profit_h,min_lvl_seen,max_lvl_seen,sample_url
Crypt Warrior,1,8447524,8447524,681248,681248,75,75,https://www.hunt-analyser.com/hunt_sessions/52279
Yalahar Bog Raiders Central,1,629342,629342,-17260,-17260,94,94,https://www.hunt-analyser.com/hunt_sessions/53124
Port Hope Spider Cave,2,496385,616481,2635,11549,82,84,https://www.hunt-analyser.com/hunt_sessions/52667
Port Hope Water Elementals (South),1,371756,371756,3928,3928,88,88,https://www.hunt-analyser.com/hunt_sessions/52773
Liberty Bay Quara Grotto,1,365440,365440,16254,16254,90,90,https://www.hunt-analyser.com/hunt_sessions/52823
Edron Vampire Crypts,1,323414,323414,21496,21496,82,82,https://www.hunt-analyser.com/hunt_sessions/52560
