creature,n_sessions,value_per_kill,min_v,max_v,sample_urls
Werelioness,65,60,50,363,https://www.hunt-analyser.com/hunt_sessions/49850|https://www.hunt-analyser.com/hunt_sessions/49850|https://www.hunt-analyser.com/hunt_sessions/49850|https://www.hunt-analyser.com/hunt_sessions/49850|https://www.hunt-analyser.com/hunt_sessions/49850
Werelion,65,60,50,363,https://www.hunt-analyser.com/hunt_sessions/49850|https://www.hunt-analyser.com/hunt_sessions/49850|https://www.hunt-analyser.com/hunt_sessions/49850|https://www.hunt-analyser.com/hunt_sessions/49850|https://www.hunt-analyser.com/hunt_sessions/49850
White Lion,65,60,50,363,https://www.hunt-analyser.com/hunt_sessions/49850|https://www.hunt-analyser.com/hunt_sessions/49850|https://www.hunt-analyser.com/hunt_sessions/49850|https://www.hunt-analyser.com/hunt_sessions/49850|https://www.hunt-analyser.com/hunt_sessions/49850
Hellspawn,62,61,39,280,https://www.hunt-analyser.com/hunt_sessions/52736|https://www.hunt-analyser.com/hunt_sessions/52736|https://www.hunt-analyser.com/hunt_sessions/52736|https://www.hunt-analyser.com/hunt_sessions/52736|https://www.hunt-analyser.com/hunt_sessions/52736
Demon,60,180,105,294,https://www.hunt-analyser.com/hunt_sessions/48650|https://www.hunt-analyser.com/hunt_sessions/48650|https://www.hunt-analyser.com/hunt_sessions/48650|https://www.hunt-analyser.com/hunt_sessions/48650|https://www.hunt-analyser.com/hunt_sessions/48650
Choking Fear,56,153,147,259,https://www.hunt-analyser.com/hunt_sessions/52190|https://www.hunt-analyser.com/hunt_sessions/52190|https://www.hunt-analyser.com/hunt_sessions/52190|https://www.hunt-analyser.com/hunt_sessions/52190|https://www.hunt-analyser.com/hunt_sessions/52190
Thanatursus,55,114,88,126,https://www.hunt-analyser.com/hunt_sessions/49116|https://www.hunt-analyser.com/hunt_sessions/49116|https://www.hunt-analyser.com/hunt_sessions/49116|https://www.hunt-analyser.com/hunt_sessions/49116|https://www.hunt-analyser.com/hunt_sessions/49116
Grim Reaper,54,55,47,161,https://www.hunt-analyser.com/hunt_sessions/50364|https://www.hunt-analyser.com/hunt_sessions/50364|https://www.hunt-analyser.com/hunt_sessions/50364|https://www.hunt-analyser.com/hunt_sessions/50364|https://www.hunt-analyser.com/hunt_sessions/50364
Vampire,44,14,6,14,https://www.hunt-analyser.com/hunt_sessions/52560|https://www.hunt-analyser.com/hunt_sessions/52560|https://www.hunt-analyser.com/hunt_sessions/52560|https://www.hunt-analyser.com/hunt_sessions/52560|https://www.hunt-analyser.com/hunt_sessions/52560
Vampire Bride,44,14,6,14,https://www.hunt-analyser.com/hunt_sessions/52560|https://www.hunt-analyser.com/hunt_sessions/52560|https://www.hunt-analyser.com/hunt_sessions/52560|https://www.hunt-analyser.com/hunt_sessions/52560|https://www.hunt-analyser.com/hunt_sessions/52560
Vampire Viscount,44,14,6,14,https://www.hunt-analyser.com/hunt_sessions/52560|https://www.hunt-analyser.com/hunt_sessions/52560|https://www.hunt-analyser.com/hunt_sessions/52560|https://www.hunt-analyser.com/hunt_sessions/52560|https://www.hunt-analyser.com/hunt_sessions/52560
Werehyaena,44,57,29,60,https://www.hunt-analyser.com/hunt_sessions/50582|https://www.hunt-analyser.com/hunt_sessions/50582|https://www.hunt-analyser.com/hunt_sessions/50582|https://www.hunt-analyser.com/hunt_sessions/50582|https://www.hunt-analyser.com/hunt_sessions/50582
Werehyaena Shaman,44,57,29,60,https://www.hunt-analyser.com/hunt_sessions/50582|https://www.hunt-analyser.com/hunt_sessions/50582|https://www.hunt-analyser.com/hunt_sessions/50582|https://www.hunt-analyser.com/hunt_sessions/50582|https://www.hunt-analyser.com/hunt_sessions/50582
Bonebeast,43,6,6,363,https://www.hunt-analyser.com/hunt_sessions/52560|https://www.hunt-analyser.com/hunt_sessions/52560|https://www.hunt-analyser.com/hunt_sessions/52560|https://www.hunt-analyser.com/hunt_sessions/52560|https://www.hunt-analyser.com/hunt_sessions/52560
Tarantula,43,15,11,121,https://www.hunt-analyser.com/hunt_sessions/52572|https://www.hunt-analyser.com/hunt_sessions/52572|https://www.hunt-analyser.com/hunt_sessions/52572|https://www.hunt-analyser.com/hunt_sessions/52572|https://www.hunt-analyser.com/hunt_sessions/52572
Quara Pincher Scout,43,7,7,39,https://www.hunt-analyser.com/hunt_sessions/52823|https://www.hunt-analyser.com/hunt_sessions/52823|https://www.hunt-analyser.com/hunt_sessions/52823|https://www.hunt-analyser.com/hunt_sessions/52823|https://www.hunt-analyser.com/hunt_sessions/52823
Quara Predator Scout,43,7,7,39,https://www.hunt-analyser.com/hunt_sessions/52823|https://www.hunt-analyser.com/hunt_sessions/52823|https://www.hunt-analyser.com/hunt_sessions/52823|https://www.hunt-analyser.com/hunt_sessions/52823|https://www.hunt-analyser.com/hunt_sessions/52823
Quara Constrictor Scout,43,7,7,39,https://www.hunt-analyser.com/hunt_sessions/52823|https://www.hunt-analyser.com/hunt_sessions/52823|https://www.hunt-analyser.com/hunt_sessions/52823|https://www.hunt-analyser.com/hunt_sessions/52823|https://www.hunt-analyser.com/hunt_sessions/52823
Quara Hydromancer Scout,43,7,7,39,https://www.hunt-analyser.com/hunt_sessions/52823|https://www.hunt-analyser.com/hunt_sessions/52823|https://www.hunt-analyser.com/hunt_sessions/52823|https://www.hunt-analyser.com/hunt_sessions/52823|https://www.hunt-analyser.com/hunt_sessions/52823
Demon Skeleton,42,105,6,124,https://www.hunt-analyser.com/hunt_sessions/52560|https://www.hunt-analyser.com/hunt_sessions/52560|https://www.hunt-analyser.com/hunt_sessions/52560|https://www.hunt-analyser.com/hunt_sessions/52560|https://www.hunt-analyser.com/hunt_sessions/52560
Dragon Lord,42,60,43,124,https://www.hunt-analyser.com/hunt_sessions/51253|https://www.hunt-analyser.com/hunt_sessions/51253|https://www.hunt-analyser.com/hunt_sessions/51253|https://www.hunt-analyser.com/hunt_sessions/51253|https://www.hunt-analyser.com/hunt_sessions/51253
Behemoth,40,49,43,126,https://www.hunt-analyser.com/hunt_sessions/51253|https://www.hunt-analyser.com/hunt_sessions/51253|https://www.hunt-analyser.com/hunt_sessions/51253|https://www.hunt-analyser.com/hunt_sessions/51253|https://www.hunt-analyser.com/hunt_sessions/51253
Quara Mantassin Scout,33,8,7,8,https://www.hunt-analyser.com/hunt_sessions/52773|https://www.hunt-analyser.com/hunt_sessions/52773|https://www.hunt-analyser.com/hunt_sessions/52773|https://www.hunt-analyser.com/hunt_sessions/52773|https://www.hunt-analyser.com/hunt_sessions/52773
Nightmare Scion,33,14,14,50,https://www.hunt-analyser.com/hunt_sessions/53124|https://www.hunt-analyser.com/hunt_sessions/53124|https://www.hunt-analyser.com/hunt_sessions/53124|https://www.hunt-analyser.com/hunt_sessions/53124|https://www.hunt-analyser.com/hunt_sessions/53124
Vicious Squire,33,18,2,18,https://www.hunt-analyser.com/hunt_sessions/51512|https://www.hunt-analyser.com/hunt_sessions/51512|https://www.hunt-analyser.com/hunt_sessions/51512|https://www.hunt-analyser.com/hunt_sessions/51512|https://www.hunt-analyser.com/hunt_sessions/51512
Renegade Knight,33,2,2,18,https://www.hunt-analyser.com/hunt_sessions/51512|https://www.hunt-analyser.com/hunt_sessions/51512|https://www.hunt-analyser.com/hunt_sessions/51512|https://www.hunt-analyser.com/hunt_sessions/51512|https://www.hunt-analyser.com/hunt_sessions/51512
Vile Grandmaster,33,2,2,18,https://www.hunt-analyser.com/hunt_sessions/51512|https://www.hunt-analyser.com/hunt_sessions/51512|https://www.hunt-analyser.com/hunt_sessions/51512|https://www.hunt-analyser.com/hunt_sessions/51512|https://www.hunt-analyser.com/hunt_sessions/51512
Wyvern,33,18,14,18,https://www.hunt-analyser.com/hunt_sessions/51512|https://www.hunt-analyser.com/hunt_sessions/51512|https://www.hunt-analyser.com/hunt_sessions/51512|https://www.hunt-analyser.com/hunt_sessions/51512|https://www.hunt-analyser.com/hunt_sessions/51512
Snake,33,14,14,25,https://www.hunt-analyser.com/hunt_sessions/52059|https://www.hunt-analyser.com/hunt_sessions/52059|https://www.hunt-analyser.com/hunt_sessions/52059|https://www.hunt-analyser.com/hunt_sessions/52059|https://www.hunt-analyser.com/hunt_sessions/52059
Cunning Werepanther,33,121,107,126,https://www.hunt-analyser.com/hunt_sessions/48495|https://www.hunt-analyser.com/hunt_sessions/48495|https://www.hunt-analyser.com/hunt_sessions/48495|https://www.hunt-analyser.com/hunt_sessions/48495|https://www.hunt-analyser.com/hunt_sessions/48495
Weretiger,33,121,107,126,https://www.hunt-analyser.com/hunt_sessions/48495|https://www.hunt-analyser.com/hunt_sessions/48495|https://www.hunt-analyser.com/hunt_sessions/48495|https://www.hunt-analyser.com/hunt_sessions/48495|https://www.hunt-analyser.com/hunt_sessions/48495
White Weretiger,33,121,107,126,https://www.hunt-analyser.com/hunt_sessions/48495|https://www.hunt-analyser.com/hunt_sessions/48495|https://www.hunt-analyser.com/hunt_sessions/48495|https://www.hunt-analyser.com/hunt_sessions/48495|https://www.hunt-analyser.com/hunt_sessions/48495
Wolf,32,363,14,363,https://www.hunt-analyser.com/hunt_sessions/52059|https://www.hunt-analyser.com/hunt_sessions/52059|https://www.hunt-analyser.com/hunt_sessions/52059|https://www.hunt-analyser.com/hunt_sessions/52059|https://www.hunt-analyser.com/hunt_sessions/52059
Dawnfire Asura,30,85,78,88,https://www.hunt-analyser.com/hunt_sessions/50699|https://www.hunt-analyser.com/hunt_sessions/50699|https://www.hunt-analyser.com/hunt_sessions/50699|https://www.hunt-analyser.com/hunt_sessions/50699|https://www.hunt-analyser.com/hunt_sessions/50699
Midnight Asura,30,85,78,88,https://www.hunt-analyser.com/hunt_sessions/50699|https://www.hunt-analyser.com/hunt_sessions/50699|https://www.hunt-analyser.com/hunt_sessions/50699|https://www.hunt-analyser.com/hunt_sessions/50699|https://www.hunt-analyser.com/hunt_sessions/50699
Frost Flower Asura,30,85,78,88,https://www.hunt-analyser.com/hunt_sessions/50699|https://www.hunt-analyser.com/hunt_sessions/50699|https://www.hunt-analyser.com/hunt_sessions/50699|https://www.hunt-analyser.com/hunt_sessions/50699|https://www.hunt-analyser.com/hunt_sessions/50699
Guzzlemaw,30,145,144,149,https://www.hunt-analyser.com/hunt_sessions/48935|https://www.hunt-analyser.com/hunt_sessions/48935|https://www.hunt-analyser.com/hunt_sessions/48935|https://www.hunt-analyser.com/hunt_sessions/48935|https://www.hunt-analyser.com/hunt_sessions/48935
Serpent Spawn,28,126,68,363,https://www.hunt-analyser.com/hunt_sessions/51555|https://www.hunt-analyser.com/hunt_sessions/51555|https://www.hunt-analyser.com/hunt_sessions/51555|https://www.hunt-analyser.com/hunt_sessions/51555|https://www.hunt-analyser.com/hunt_sessions/51555
Medusa,28,126,68,363,https://www.hunt-analyser.com/hunt_sessions/51555|https://www.hunt-analyser.com/hunt_sessions/51555|https://www.hunt-analyser.com/hunt_sessions/51555|https://www.hunt-analyser.com/hunt_sessions/51555|https://www.hunt-analyser.com/hunt_sessions/51555
Silverfrost Sentinel,25,225,158,414,https://www.hunt-analyser.com/hunt_sessions/56613|https://www.hunt-analyser.com/hunt_sessions/56613|https://www.hunt-analyser.com/hunt_sessions/56613|https://www.hunt-analyser.com/hunt_sessions/56613|https://www.hunt-analyser.com/hunt_sessions/56613
