id,spawn,hunt_date,duration,party_size,party_comp,min_lvl,max_lvl,avg_lvl,xp_h,raw_xp_h,balance_h,has_creature_stats,url
52279,Crypt Warrior,"Jul 28, 2026 09:45",00:28h,1,,0,0,75,8447524,5631685,681248,1,https://www.hunt-analyser.com/hunt_sessions/52279
52560,Edron Vampire Crypts,"Jul 31, 2026 11:55",00:37h,1,EM 82,82,82,82,323414,215649,21496,1,https://www.hunt-analyser.com/hunt_sessions/52560
52823,Liberty Bay Quara Grotto,"Aug 03, 2026 13:40",00:22h,1,EM 90,90,90,90,365440,243627,16254,1,https://www.hunt-analyser.com/hunt_sessions/52823
52572,Port Hope Spider Cave,"Jul 31, 2026 15:40",01:00h,1,EM 82,82,82,82,376290,250860,11549,1,https://www.hunt-analyser.com/hunt_sessions/52572
52773,Port Hope Water Elementals (South),"Aug 02, 2026 21:36",00:32h,1,EM 88,88,88,88,371756,247837,3928,1,https://www.hunt-analyser.com/hunt_sessions/52773
52667,Port Hope Spider Cave,"Aug 01, 2026 17:33",01:00h,1,EM 84,84,84,84,616481,277452,-6279,1,https://www.hunt-analyser.com/hunt_sessions/52667
53124,Yalahar Bog Raiders Central,"Aug 06, 2026 16:03",00:30h,1,EM 94,94,94,94,629342,419562,-17260,1,https://www.hunt-analyser.com/hunt_sessions/53124
