date,buy,sell
2026-08-18,1901,2664
2026-08-18,1901,2664
2026-08-19,1901,2698
2026-08-20,1350,2127
2026-08-20,1350,2127
2026-08-21,1084,2005
2026-08-22,1087,2220
2026-08-22,1104,2472
2026-08-23,1124,2634
2026-08-24,1124,2634
2026-08-25,1272,3263
2026-08-26,1800,3179
2026-08-26,1800,3179
2026-08-27,1762,2482
2026-08-28,1786,2175
2026-08-28,1661,1916
2026-08-29,1612,2225
2026-08-30,1612,2225
2026-08-31,1643,0
2026-09-01,1606,2174
2026-09-01,1606,2174
2026-09-02,1601,2075
2026-09-03,1601,2339
2026-09-03,1601,2339
2026-09-04,1602,2100
2026-09-05,1617,2700
2026-09-06,1685,2864
2026-09-07,1710,2877
2026-09-08,1728,2645
2026-09-09,1785,2387
2026-09-09,1788,2201
2026-09-10,1816,2454
2026-09-11,1828,2744
2026-09-12,1905,2517
2026-09-13,1923,2936
2026-09-14,1977,2632
