date,buy,sell
2026-08-17,1257,1757
2026-08-17,1257,1757
2026-08-18,1195,2556
2026-08-19,1210,2262
2026-08-19,1210,2262
2026-08-20,1430,2268
2026-08-21,1539,1874
2026-08-22,1574,1784
2026-08-23,1517,1820
2026-08-23,1517,1820
2026-08-24,1524,1800
2026-08-25,1775,2399
2026-08-25,1775,2399
2026-08-26,1586,2198
2026-08-27,1619,2374
2026-08-28,1621,2150
2026-08-29,1959,2576
2026-08-29,1959,2576
2026-08-30,3006,5784
2026-08-31,3004,3552
2026-08-31,3004,3552
2026-09-01,2549,3306
2026-09-02,2018,2533
2026-09-03,2018,2533
2026-09-04,2038,2489
2026-09-05,2054,2532
2026-09-06,2100,0
2026-09-07,2100,2395
2026-09-07,2101,2299
2026-09-08,2066,2317
2026-09-09,2150,2633
2026-09-10,2300,2875
2026-09-11,2303,0
2026-09-12,2329,2718
2026-09-13,2359,2758
2026-09-14,2342,2812
