date,buy,sell
2026-08-17,42,79
2026-08-17,42,79
2026-08-18,43,73
2026-08-19,43,75
2026-08-19,43,75
2026-08-20,46,108
2026-08-21,47,117
2026-08-22,47,122
2026-08-23,44,83
2026-08-23,44,83
2026-08-24,43,102
2026-08-25,46,107
2026-08-25,46,107
2026-08-26,52,120
2026-08-27,44,94
2026-08-28,44,68
2026-08-29,45,107
2026-08-29,45,107
2026-08-30,45,111
2026-08-31,45,99
2026-08-31,45,99
2026-09-01,42,102
2026-09-02,41,122
2026-09-03,41,122
2026-09-04,43,97
2026-09-05,45,64
2026-09-06,46,66
2026-09-07,51,92
2026-09-07,51,69
2026-09-08,49,65
2026-09-09,50,62
2026-09-10,52,66
2026-09-11,53,89
2026-09-12,51,71
2026-09-13,50,67
2026-09-14,51,65
