date,buy,sell
2026-08-18,796,884
2026-08-18,796,884
2026-08-19,928,1685
2026-08-20,999,3020
2026-08-20,999,3020
2026-08-21,1004,1638
2026-08-22,1012,1542
2026-08-22,1022,1196
2026-08-23,1030,1224
2026-08-24,1030,1224
2026-08-25,1031,1244
2026-08-26,1031,1518
2026-08-26,1031,1518
2026-08-27,1050,2599
2026-08-28,1082,2240
2026-08-28,1104,2248
2026-08-29,1108,2370
2026-08-30,1108,2370
2026-08-31,1111,1675
2026-09-01,1111,1986
2026-09-01,1111,1986
2026-09-02,1144,2986
2026-09-03,1183,3233
2026-09-03,1183,3233
2026-09-04,1200,1580
2026-09-05,1203,1703
2026-09-06,1204,1698
2026-09-07,1211,1901
2026-09-08,1261,2111
2026-09-09,1284,2764
2026-09-09,1288,0
2026-09-10,1296,1433
2026-09-11,1302,1572
2026-09-12,1312,1889
2026-09-13,1346,0
2026-09-14,1316,1461
