date,buy,sell
2026-08-24,4294,5079
2026-08-25,4192,5855
2026-08-25,4192,5855
2026-08-26,4553,6096
2026-08-27,4597,5348
2026-08-28,4323,4707
2026-08-29,3755,5602
2026-08-29,3755,5602
2026-08-30,3965,5049
2026-08-31,4072,5288
2026-08-31,4072,5288
2026-09-01,4037,4875
2026-09-02,4032,4882
2026-09-03,4032,4882
2026-09-04,4094,4789
2026-09-05,4086,4696
2026-09-06,4048,4902
2026-09-07,5314,5961
2026-09-07,4080,5645
2026-09-08,4150,5136
2026-09-09,4199,4965
2026-09-10,4219,5661
2026-09-11,4252,5292
2026-09-12,4260,4799
2026-09-13,4261,4646
2026-09-14,4259,4517
