date,buy,sell
2026-08-20,94,114
2026-08-21,94,112
2026-08-22,95,112
2026-08-23,90,107
2026-08-23,90,107
2026-08-24,90,107
2026-08-25,90,106
2026-08-25,90,106
2026-08-26,89,108
2026-08-27,91,108
2026-08-28,92,108
2026-08-29,94,108
2026-08-29,94,108
2026-08-30,96,108
2026-08-31,89,106
2026-08-31,89,106
2026-09-01,91,103
2026-09-02,89,105
2026-09-03,89,105
2026-09-04,92,105
2026-09-05,91,108
2026-09-06,94,136
2026-09-07,96,125
2026-09-07,95,114
2026-09-08,96,122
2026-09-09,98,107
2026-09-10,95,107
2026-09-11,95,107
2026-09-12,96,113
2026-09-13,98,116
2026-09-14,100,115
