date,buy,sell
2026-08-18,933,976
2026-08-18,933,976
2026-08-19,932,975
2026-08-20,931,970
2026-08-20,931,970
2026-08-21,859,950
2026-08-22,852,968
2026-08-22,852,976
2026-08-23,852,999
2026-08-24,852,999
2026-08-25,897,1027
2026-08-26,930,984
2026-08-26,930,984
2026-08-27,931,1006
2026-08-28,931,982
2026-08-28,931,990
2026-08-29,931,982
2026-08-30,931,982
2026-08-31,931,995
2026-09-01,912,975
2026-09-01,912,975
2026-09-02,921,998
2026-09-03,923,992
2026-09-03,923,992
2026-09-04,922,1007
2026-09-05,921,993
2026-09-06,921,970
2026-09-07,921,990
2026-09-08,921,985
2026-09-09,921,1012
2026-09-09,921,996
2026-09-10,921,983
2026-09-11,921,982
2026-09-12,921,984
2026-09-13,898,1002
2026-09-14,924,1007
