date,buy,sell
2026-08-24,9261,11987
2026-08-25,9131,11699
2026-08-25,9131,11699
2026-08-26,9670,10574
2026-08-27,9702,10131
2026-08-28,9655,9979
2026-08-29,9621,10050
2026-08-29,9621,10050
2026-08-30,9523,10347
2026-08-31,9594,10449
2026-08-31,9594,10449
2026-09-01,9603,10923
2026-09-02,9690,11448
2026-09-03,9690,11448
2026-09-04,9766,10707
2026-09-05,9611,10418
2026-09-06,9628,10141
2026-09-07,9588,10195
2026-09-07,9685,10149
2026-09-08,9506,9818
2026-09-09,9507,9761
2026-09-10,8697,9749
2026-09-11,8626,9528
2026-09-12,8619,9229
2026-09-13,8791,10573
2026-09-14,9044,12296
