date,buy,sell
2026-08-22,678,932
2026-08-23,694,1176
2026-08-23,694,1176
2026-08-24,773,1154
2026-08-25,1169,1492
2026-08-25,1169,1492
2026-08-26,1211,1815
2026-08-27,1286,1404
2026-08-28,1259,1451
2026-08-29,894,1466
2026-08-29,894,1466
2026-08-30,1036,1878
2026-08-31,890,1289
2026-08-31,890,1289
2026-09-01,1223,2114
2026-09-02,1318,1706
2026-09-03,1318,1706
2026-09-04,1407,1682
2026-09-05,1483,1901
2026-09-06,1462,1817
2026-09-07,1230,1588
2026-09-07,661,1212
2026-09-08,984,1548
2026-09-09,1052,1281
2026-09-10,1034,1068
2026-09-11,1002,1076
2026-09-12,568,956
2026-09-13,803,945
2026-09-14,880,1037
