date,buy,sell
2026-08-18,2025,2603
2026-08-18,2025,2603
2026-08-19,2008,2569
2026-08-20,1853,2292
2026-08-20,1853,2292
2026-08-21,1878,2193
2026-08-22,1843,2170
2026-08-22,1308,2144
2026-08-23,1402,2072
2026-08-24,1402,2072
2026-08-25,1381,1992
2026-08-26,1559,1900
2026-08-26,1559,1900
2026-08-27,1516,2166
2026-08-28,1480,2200
2026-08-28,1534,1935
2026-08-29,1021,1749
2026-08-30,1021,1749
2026-08-31,1038,1489
2026-09-01,1053,1441
2026-09-01,1053,1441
2026-09-02,1077,1343
2026-09-03,0,1786
2026-09-03,0,1786
2026-09-04,0,1969
2026-09-05,1234,1996
2026-09-06,1557,1936
2026-09-07,1572,1924
2026-09-08,1603,1912
2026-09-09,0,1850
2026-09-09,1488,1876
2026-09-10,1229,1629
2026-09-11,1253,1509
2026-09-12,1267,1575
2026-09-13,1249,1549
2026-09-14,1252,1526
