date,buy,sell
2026-08-25,4218,4894
2026-08-25,4218,4894
2026-08-26,4235,4840
2026-08-27,4249,4827
2026-08-28,4291,4854
2026-08-29,4350,4913
2026-08-29,4350,4913
2026-08-30,4478,5190
2026-08-31,4302,5076
2026-08-31,4302,5076
2026-09-01,4454,4899
2026-09-02,4430,4861
2026-09-03,4430,4861
2026-09-04,4299,4892
2026-09-05,4340,4898
2026-09-06,4398,5171
2026-09-07,4333,4907
2026-09-07,4374,4735
2026-09-08,4371,5140
2026-09-09,4354,4866
2026-09-10,4444,5198
2026-09-11,4492,5283
2026-09-12,4573,5183
2026-09-13,4596,5120
2026-09-14,4572,5149
