date,buy,sell
2026-08-17,431,708
2026-08-17,431,708
2026-08-18,463,903
2026-08-19,419,956
2026-08-19,419,956
2026-08-20,413,756
2026-08-21,439,686
2026-08-22,430,0
2026-08-23,296,616
2026-08-23,296,616
2026-08-24,101,292
2026-08-25,198,608
2026-08-25,198,608
2026-08-26,292,635
2026-08-27,306,740
2026-08-28,309,667
2026-08-29,453,754
2026-08-29,453,754
2026-08-30,523,800
2026-08-31,501,758
2026-08-31,501,758
2026-09-01,666,1000
2026-09-02,952,2186
2026-09-03,952,2186
2026-09-04,584,990
2026-09-05,625,886
2026-09-06,603,705
2026-09-07,603,693
2026-09-07,602,669
2026-09-08,603,1216
2026-09-09,756,1266
2026-09-10,761,974
2026-09-11,607,955
2026-09-12,616,898
2026-09-13,675,899
2026-09-14,608,880
