date,buy,sell
2026-08-17,2713,2920
2026-08-17,2713,2920
2026-08-18,2552,2855
2026-08-19,2622,2875
2026-08-19,2622,2875
2026-08-20,2583,2822
2026-08-21,2601,2896
2026-08-22,2617,2895
2026-08-23,2680,2923
2026-08-23,2680,2923
2026-08-24,2671,2866
2026-08-25,2636,2926
2026-08-25,2636,2926
2026-08-26,2627,2889
2026-08-27,2716,2886
2026-08-28,2600,2842
2026-08-29,2613,2906
2026-08-29,2613,2906
2026-08-30,2622,2931
2026-08-31,2704,2885
2026-08-31,2704,2885
2026-09-01,2722,2899
2026-09-02,2692,2927
2026-09-03,2692,2927
2026-09-04,2697,2909
2026-09-05,2714,2923
2026-09-06,2720,2934
2026-09-07,2734,2943
2026-09-07,2667,2906
2026-09-08,2627,2883
2026-09-09,2702,2934
2026-09-10,2622,2913
2026-09-11,2653,2961
2026-09-12,2662,2985
2026-09-13,2659,2930
2026-09-14,2681,2918
