date,buy,sell
2026-08-18,108,124
2026-08-18,108,124
2026-08-19,104,121
2026-08-20,113,127
2026-08-20,113,127
2026-08-21,118,127
2026-08-22,110,130
2026-08-22,109,124
2026-08-23,102,121
2026-08-24,102,121
2026-08-25,105,116
2026-08-26,103,116
2026-08-26,103,116
2026-08-27,100,114
2026-08-28,103,113
2026-08-28,105,116
2026-08-29,104,119
2026-08-30,104,119
2026-08-31,105,119
2026-09-01,104,121
2026-09-01,104,121
2026-09-02,106,128
2026-09-03,119,148
2026-09-03,119,148
2026-09-04,127,161
2026-09-05,130,155
2026-09-06,121,152
2026-09-07,118,158
2026-09-08,120,143
2026-09-09,115,133
2026-09-09,117,133
2026-09-10,115,140
2026-09-11,125,140
2026-09-12,133,146
2026-09-13,130,150
2026-09-14,129,155
