date,buy,sell
2026-08-17,1651,1885
2026-08-17,1651,1885
2026-08-18,1556,1884
2026-08-19,1605,1885
2026-08-19,1605,1885
2026-08-20,1687,1841
2026-08-21,1715,1903
2026-08-22,1671,1930
2026-08-23,1706,1934
2026-08-23,1706,1934
2026-08-24,1661,1872
2026-08-25,1648,1921
2026-08-25,1648,1921
2026-08-26,1705,1942
2026-08-27,1699,1911
2026-08-28,1667,1897
2026-08-29,1705,1921
2026-08-29,1705,1921
2026-08-30,1690,1942
2026-08-31,1706,1917
2026-08-31,1706,1917
2026-09-01,1663,1920
2026-09-02,1731,1930
2026-09-03,1731,1930
2026-09-04,1732,1918
2026-09-05,1713,1876
2026-09-06,1640,1914
2026-09-07,1691,1925
2026-09-07,1630,1895
2026-09-08,1619,1853
2026-09-09,1601,1915
2026-09-10,1657,1924
2026-09-11,1619,1927
2026-09-12,1673,1915
2026-09-13,1688,1894
2026-09-14,1641,1883
