date,buy,sell
2026-08-18,3316,3651
2026-08-18,3316,3651
2026-08-19,3373,5307
2026-08-20,3574,4362
2026-08-20,3574,4362
2026-08-21,3601,4317
2026-08-22,3634,4185
2026-08-22,3659,4577
2026-08-23,3687,4758
2026-08-24,3687,4758
2026-08-25,3985,4692
2026-08-26,4184,4613
2026-08-26,4184,4613
2026-08-27,4200,4608
2026-08-28,4200,4603
2026-08-28,2971,0
2026-08-29,2528,3650
2026-08-30,2528,3650
2026-08-31,2513,0
2026-09-01,2509,2993
2026-09-01,2509,2993
2026-09-02,2582,3917
2026-09-03,2612,4550
2026-09-03,2612,4550
2026-09-04,2620,3684
2026-09-05,2772,3291
2026-09-06,2810,0
2026-09-07,2813,2952
2026-09-08,2815,3324
2026-09-09,2817,4086
2026-09-09,2816,3497
2026-09-10,1510,3270
2026-09-11,1725,2764
2026-09-12,2017,3141
2026-09-13,2459,3267
2026-09-14,2050,3578
