date,buy,sell
2026-08-18,625,1380
2026-08-18,625,1380
2026-08-19,794,2396
2026-08-20,852,1263
2026-08-20,852,1263
2026-08-21,850,1052
2026-08-22,851,1182
2026-08-22,861,1893
2026-08-23,881,0
2026-08-24,881,0
2026-08-25,933,1634
2026-08-26,932,1960
2026-08-26,932,1960
2026-08-27,984,1434
2026-08-28,1002,1585
2026-08-28,1002,1339
2026-08-29,1237,1825
2026-08-30,1237,1825
2026-08-31,1394,2989
2026-09-01,1401,2016
2026-09-01,1401,2016
2026-09-02,1404,2203
2026-09-03,1405,2148
2026-09-03,1405,2148
2026-09-04,1425,1738
2026-09-05,1441,1744
2026-09-06,1440,0
2026-09-07,1013,1444
2026-09-08,635,1055
2026-09-09,636,1603
2026-09-09,748,1521
2026-09-10,822,1509
2026-09-11,904,0
2026-09-12,927,1228
2026-09-13,977,1995
2026-09-14,1007,1490
