date,buy,sell
2026-08-18,12,21
2026-08-18,12,21
2026-08-19,10,20
2026-08-20,20,22
2026-08-20,20,22
2026-08-21,20,24
2026-08-22,18,22
2026-08-22,18,26
2026-08-23,16,28
2026-08-24,16,28
2026-08-25,11,26
2026-08-26,12,25
2026-08-26,12,25
2026-08-27,12,22
2026-08-28,11,21
2026-08-28,10,20
2026-08-29,10,17
2026-08-30,10,17
2026-08-31,10,19
2026-09-01,9,16
2026-09-01,9,16
2026-09-02,6,13
2026-09-03,4,10
2026-09-03,4,10
2026-09-04,6,12
2026-09-05,6,15
2026-09-06,7,15
2026-09-07,10,16
2026-09-08,10,15
2026-09-09,8,14
2026-09-09,9,14
2026-09-10,8,13
2026-09-11,8,14
2026-09-12,7,11
2026-09-13,9,14
2026-09-14,11,14
