date,buy,sell
2026-08-17,53,64
2026-08-17,53,64
2026-08-18,56,67
2026-08-19,58,0
2026-08-19,58,0
2026-08-20,60,0
2026-08-21,64,68
2026-08-22,58,0
2026-08-23,57,0
2026-08-23,57,0
2026-08-24,52,0
2026-08-25,28,58
2026-08-25,28,58
2026-08-26,30,0
2026-08-27,37,65
2026-08-28,45,0
2026-08-29,49,0
2026-08-29,49,0
2026-08-30,51,66
2026-08-31,51,52
2026-08-31,51,52
2026-09-01,46,60
2026-09-02,47,0
2026-09-03,47,0
2026-09-04,46,62
2026-09-05,46,0
2026-09-06,47,66
2026-09-07,46,64
2026-09-07,65,0
2026-09-08,65,0
2026-09-09,52,0
2026-09-10,45,0
2026-09-11,43,60
2026-09-12,39,67
2026-09-13,45,0
2026-09-14,45,66
