date,buy,sell
2026-08-18,11,17
2026-08-18,11,17
2026-08-19,8,18
2026-08-20,16,22
2026-08-20,16,22
2026-08-21,17,22
2026-08-22,17,20
2026-08-22,17,20
2026-08-23,18,21
2026-08-24,18,21
2026-08-25,9,23
2026-08-26,8,18
2026-08-26,8,18
2026-08-27,10,16
2026-08-28,10,16
2026-08-28,10,15
2026-08-29,11,15
2026-08-30,11,15
2026-08-31,5,14
2026-09-01,10,16
2026-09-01,10,16
2026-09-02,10,14
2026-09-03,10,14
2026-09-03,10,14
2026-09-04,10,13
2026-09-05,11,12
2026-09-06,11,13
2026-09-07,11,13
2026-09-08,11,14
2026-09-09,11,13
2026-09-09,11,14
2026-09-10,11,12
2026-09-11,11,13
2026-09-12,3,10
2026-09-13,4,10
2026-09-14,4,9
