date,buy,sell
2026-08-17,356,494
2026-08-17,356,494
2026-08-18,406,709
2026-08-19,441,661
2026-08-19,441,661
2026-08-20,426,740
2026-08-21,426,0
2026-08-22,414,600
2026-08-23,424,572
2026-08-23,424,572
2026-08-24,401,699
2026-08-25,402,770
2026-08-25,402,770
2026-08-26,402,807
2026-08-27,408,738
2026-08-28,412,759
2026-08-29,414,760
2026-08-29,414,760
2026-08-30,416,581
2026-08-31,409,644
2026-08-31,409,644
2026-09-01,447,755
2026-09-02,442,813
2026-09-03,442,813
2026-09-04,222,799
2026-09-05,252,799
2026-09-06,260,0
2026-09-07,276,600
2026-09-07,277,0
2026-09-08,300,708
2026-09-09,334,636
2026-09-10,334,634
2026-09-11,334,419
2026-09-12,334,419
2026-09-13,334,377
2026-09-14,333,564
