date,buy,sell
2026-08-20,8,10
2026-08-21,8,10
2026-08-22,8,11
2026-08-23,9,11
2026-08-23,9,11
2026-08-24,9,10
2026-08-25,9,10
2026-08-25,9,10
2026-08-26,9,10
2026-08-27,7,11
2026-08-28,5,10
2026-08-29,0,11
2026-08-29,0,11
2026-08-30,6,10
2026-08-31,2,11
2026-08-31,2,11
2026-09-01,0,11
2026-09-02,2,10
2026-09-03,2,10
2026-09-04,6,15
2026-09-05,2,11
2026-09-06,4,10
2026-09-07,6,10
2026-09-07,8,11
2026-09-08,8,11
2026-09-09,9,11
2026-09-10,7,11
2026-09-11,5,10
2026-09-12,5,11
2026-09-13,5,11
2026-09-14,10,11
