date,buy,sell
2026-08-18,8940,11972
2026-08-18,8940,11972
2026-08-19,7510,12765
2026-08-20,8242,14258
2026-08-20,8242,14258
2026-08-21,8943,12621
2026-08-22,8842,12972
2026-08-22,7512,12057
2026-08-23,7577,11370
2026-08-24,7577,11370
2026-08-25,7568,9224
2026-08-26,6608,9436
2026-08-26,6608,9436
2026-08-27,5416,8559
2026-08-28,5103,7232
2026-08-28,5336,7975
2026-08-29,6494,8733
2026-08-30,6494,8733
2026-08-31,7264,8940
2026-09-01,7526,12175
2026-09-01,7526,12175
2026-09-02,7568,9118
2026-09-03,7756,12643
2026-09-03,7756,12643
2026-09-04,7835,12009
2026-09-05,8036,11608
2026-09-06,8299,10244
2026-09-07,8309,10411
2026-09-08,8310,10593
2026-09-09,8062,9064
2026-09-09,7896,10141
2026-09-10,10011,13794
2026-09-11,10021,14322
2026-09-12,10013,12975
2026-09-13,10147,11818
2026-09-14,10186,12827
