date,buy,sell
2026-08-18,607,1093
2026-08-18,607,1093
2026-08-19,1499,2681
2026-08-20,1740,2292
2026-08-20,1740,2292
2026-08-21,1847,2836
2026-08-22,1879,2472
2026-08-22,1910,2499
2026-08-23,1911,2265
2026-08-24,1911,2265
2026-08-25,1842,2123
2026-08-26,1220,1902
2026-08-26,1220,1902
2026-08-27,982,1729
2026-08-28,1001,1408
2026-08-28,1000,1330
2026-08-29,1008,1419
2026-08-30,1008,1419
2026-08-31,1012,1332
2026-09-01,1014,1370
2026-09-01,1014,1370
2026-09-02,1190,1774
2026-09-03,1178,1448
2026-09-03,1178,1448
2026-09-04,1083,1390
2026-09-05,1102,1383
2026-09-06,1104,1346
2026-09-07,1101,1364
2026-09-08,1086,1278
2026-09-09,1070,1372
2026-09-09,1030,1217
2026-09-10,1021,1187
2026-09-11,1023,1209
2026-09-12,1054,1216
2026-09-13,1092,1299
2026-09-14,1103,1253
