date,buy,sell
2026-08-17,103,169
2026-08-17,103,169
2026-08-18,103,0
2026-08-19,94,159
2026-08-19,94,159
2026-08-20,85,217
2026-08-21,115,144
2026-08-22,78,157
2026-08-23,61,136
2026-08-23,61,136
2026-08-24,89,124
2026-08-25,109,128
2026-08-25,109,128
2026-08-26,129,153
2026-08-27,123,168
2026-08-28,135,226
2026-08-29,136,247
2026-08-29,136,247
2026-08-30,135,238
2026-08-31,131,235
2026-08-31,131,235
2026-09-01,132,179
2026-09-02,130,148
2026-09-03,130,148
2026-09-04,96,115
2026-09-05,130,161
2026-09-06,130,160
2026-09-07,131,141
2026-09-07,132,168
2026-09-08,131,166
2026-09-09,131,170
2026-09-10,124,148
2026-09-11,125,160
2026-09-12,126,173
2026-09-13,127,153
2026-09-14,126,0
