date,buy,sell
2026-08-18,197,711
2026-08-18,197,711
2026-08-19,371,1827
2026-08-20,196,436
2026-08-20,196,436
2026-08-21,198,281
2026-08-22,199,268
2026-08-22,194,0
2026-08-23,178,209
2026-08-24,178,209
2026-08-25,168,204
2026-08-26,63,194
2026-08-26,63,194
2026-08-27,151,194
2026-08-28,167,198
2026-08-28,171,209
2026-08-29,175,0
2026-08-30,175,0
2026-08-31,177,190
2026-09-01,179,185
2026-09-01,179,185
2026-09-02,180,193
2026-09-03,180,217
2026-09-03,180,217
2026-09-04,183,0
2026-09-05,186,210
2026-09-06,188,200
2026-09-07,192,208
2026-09-08,191,211
2026-09-09,199,397
2026-09-09,215,428
2026-09-10,208,217
2026-09-11,204,213
2026-09-12,195,209
2026-09-13,198,205
2026-09-14,193,208
