date,buy,sell
2026-08-17,744,1353
2026-08-17,744,1353
2026-08-18,746,1415
2026-08-19,756,1275
2026-08-19,756,1275
2026-08-20,769,950
2026-08-21,773,896
2026-08-22,772,818
2026-08-23,617,861
2026-08-23,617,861
2026-08-24,505,946
2026-08-25,509,1246
2026-08-25,509,1246
2026-08-26,515,1431
2026-08-27,530,759
2026-08-28,553,927
2026-08-29,566,632
2026-08-29,566,632
2026-08-30,562,883
2026-08-31,562,902
2026-08-31,562,902
2026-09-01,570,1221
2026-09-02,593,1030
2026-09-03,593,1030
2026-09-04,605,865
2026-09-05,611,0
2026-09-06,615,698
2026-09-07,620,811
2026-09-07,621,716
2026-09-08,727,1227
2026-09-09,870,1013
2026-09-10,706,1071
2026-09-11,658,763
2026-09-12,663,950
2026-09-13,670,932
2026-09-14,667,958
