hunt_id,creature,killed
32487,Gnarlhound,1
32499,Lamassu,23
32499,Sphinx,20
32499,Sandcrawler,10
32499,Cobra,6
32499,Crocodile,5
32499,Scorpion,1
32499,Crab,1
33108,Exotic Bat,78
33108,Exotic Cave Spider,28
33187,Werehyaena,42
33187,Werehyaena Shaman,2
33193,Lizard Chosen,62
33193,Ghastly Dragon,32
33193,Mutated Bat,3
33193,Death Blob,2
33193,Mutated Tiger,1
33258,Lizard Chosen,59
33258,Ghastly Dragon,32
33258,Killer Caiman,6
33258,Mutated Bat,3
33258,Lizard High Guard,3
33258,Death Blob,2
33258,Mutated Tiger,1
33424,Lizard Chosen,50
33424,Ghastly Dragon,22
33424,Mutated Bat,10
33424,Lizard Legionnaire,9
33424,Lizard High Guard,6
33424,Death Blob,6
33424,Mutated Tiger,5
33424,Lizard Dragon Priest,3
33425,Weakened Frazzlemaw,67
33425,Enfeebled Silencer,40
33425,Pixie,32
33425,Pooka,29
33425,Nymph,29
33425,Faun,18
33425,Swan Maiden,14
33425,Boogy,6
33425,Wisp,4
33425,Dark Faun,3
33425,Twisted Pooka,2
33445,Eternal Guardian,92
33445,Medusa,86
33445,Hydra,70
33445,Serpent Spawn,43
33445,Giant Spider,5
33445,Centipede,5
34016,Serpent Spawn,77
34016,Medusa,45
34016,Quara Hydromancer Scout,14
34016,Tarantula,13
34016,Quara Mantassin Scout,10
34016,Giant Spider,7
34016,Quara Predator Scout,6
34016,Cobra,6
34016,Water Elemental,5
34016,Spider,5
34016,Skunk,4
34016,Scorpion,3
34016,Bog Raider,2
34016,Crocodile,2
34016,Quara Pincher Scout,2
34016,Crypt Shambler,1
34016,Slime,1
35841,Ravenous Lava Lurker,478
37083,Werefox,57
37083,Werebadger,50
37083,Wereboar,33
37083,Werebear,25
37083,Werewolf,19
37083,Poison Spider,6
37083,Orc Warrior,2
37083,Orc,2
37083,Orc Spearman,1
37085,Werefox,54
37085,Werebadger,41
37085,Wereboar,34
37085,Werebear,25
37085,Werewolf,19
37180,Werefox,59
37180,Werebadger,50
37180,Wereboar,38
37180,Werebear,26
37180,Werewolf,20
37608,Werefox,37
37608,Werebadger,36
37608,Wereboar,29
37608,Werebear,19
37608,Werewolf,15
37608,Sharpclaw,1
37608,Shadowpelt,1
37608,Darkfang,1
37608,Bloodback,1
37608,Black Vixen,1
38346,Exotic Bat,307
38346,Exotic Cave Spider,137
38793,Midnight Asura,118
38793,Hellspawn,109
38793,Dawnfire Asura,104
38793,Frost Flower Asura,57
38812,Grim Reaper,164
38812,Banshee,11
38812,Spectre,10
38812,Gravedigger,4
38812,Stalker,3
38812,Shadow Pupil,2
38812,Scorpion,2
38812,Tarnished Spirit,1
38812,Skeleton Warrior,1
38835,Grim Reaper,301
38835,Nightmare Scion,17
38835,Nightmare,14
38836,Grim Reaper,417
38955,Grim Reaper,473
38955,Nightmare,7
38955,Nightmare Scion,3
39300,Cult Believer,136
39300,Renegade Knight,81
39300,Vicious Squire,60
39300,Vile Grandmaster,25
39992,Werehyaena,160
39992,Werehyaena Shaman,65
40531,Lizard High Guard,436
40531,Lizard Legionnaire,164
40531,Lizard Dragon Priest,63
40531,Lizard Zaogun,7
40912,Rot Elemental,70
40912,Glooth Blob,62
40912,Blood Beast,45
40912,Quara Hydromancer Scout,34
40912,Quara Predator Scout,33
40912,Devourer,29
40912,Quara Pincher Scout,28
40912,Quara Constrictor Scout,26
41129,Lizard High Guard,22
41129,Lizard Legionnaire,20
41129,Lancer Beetle,1
41129,Dragon,1
43891,Glooth Bandit,384
43891,Glooth Brigand,352
43941,Weakened Frazzlemaw,125
43941,Enfeebled Silencer,70
43941,Boogy,8
43941,Swan Maiden,4
43941,Dark Faun,3
43941,Nymph,2
43941,Pixie,1
43941,Kroazur,1
47748,Exotic Bat,150
47748,Exotic Cave Spider,61
47748,Pirat Scoundrel,3
47748,Pirat Cutthroat,2
49116,Gazer Spectre,291
49116,Thanatursus,2
49117,Gazer Spectre,259
49117,Thanatursus,1
50575,Ravenous Lava Lurker,775
51512,Vicious Squire,169
51512,Hero,98
51512,Bonebeast,64
51512,Renegade Knight,34
51512,Dwarf Henchman,32
51512,Vile Grandmaster,16
51512,Wyvern,12
51512,Stone Golem,4
51512,Lich,3
51512,Mechanical Fighter,2
51512,Rat,1
51512,Mad Technomancer,1
52059,Vampire Bride,423
52059,Vampire Viscount,360
52059,Vampire,336
52059,Snake,9
52059,Wyvern,2
52059,Wolf,2
52059,Wisp,2
52059,Rabbit,1
52059,Deer,1
52356,Dark Faun,262
52356,Twisted Pooka,216
52356,Boogy,115
53070,Vicious Squire,138
53070,Cult Believer,123
53070,Renegade Knight,99
53070,Cult Enforcer,76
53070,Vile Grandmaster,67
55180,Ravenous Lava Lurker,54
55979,Rot Elemental,147
55979,Glooth Blob,125
55979,Blood Beast,100
55979,Devourer,81
55979,Quara Predator Scout,63
55979,Quara Pincher Scout,63
55979,Quara Constrictor Scout,52
55979,Quara Hydromancer Scout,51
8446,Cult Believer,142
8446,Vicious Squire,131
8446,Renegade Knight,95
8446,Cult Enforcer,74
8446,Vile Grandmaster,61
9088,Dragon Lord,257
9088,Dragon,54
31452,Vampire,129
31452,Vampire Bride,127
31452,Vampire Viscount,120
31452,Demon Skeleton,33
31452,Ghoul,28
31452,Skeleton Warrior,24
31452,Necromancer,22
31452,Bonebeast,21
31452,Snake,13
31602,Pirate Marauder,179
31602,Pirate Cutthroat,115
31602,Pirate Buccaneer,27
31602,Pirate Corsair,6
31664,Sparkion,15
31664,Dread Intruder,13
31664,Reality Reaver,9
31664,Breach Brood,9
31680,Grim Reaper,552
31790,Weakened Frazzlemaw,132
31790,Enfeebled Silencer,82
31790,Mutated Bat,21
31790,Banshee,17
31790,Zombie,15
31790,Braindeath,14
31790,Nightmare,3
31790,Tarantula,3
31790,Swan Maiden,2
31790,Nightmare Scion,2
31790,Giant Spider,2
31790,Twisted Pooka,2
31790,Dark Faun,2
31790,Bonebeast,2
31790,Nightstalker,1
31790,Lich,1
31790,Kroazur,1
31796,Vampire Bride,236
31796,Vampire Viscount,235
31796,Vampire,167
31801,Weakened Frazzlemaw,251
31801,Enfeebled Silencer,152
31801,Swan Maiden,3
31801,Boogy,2
31801,Faun,1
32006,Midnight Asura,298
32006,Dawnfire Asura,293
32006,Hellspawn,101
32006,Frost Flower Asura,56
32008,Dawnfire Asura,814
32008,Midnight Asura,788
32008,Hellspawn,269
32008,Frost Flower Asura,155
32008,True Dawnfire Asura,1
32061,Amazon,353
32061,Valkyrie,192
32061,Witch,25
32061,Feverish Citizen,18
32061,Ghoul,7
32061,Mummy,3
32061,Lion,1
32087,Mutated Tiger,102
32087,Nomad,18
32087,Wyvern,15
32087,Bog Raider,14
32087,Wiggler,12
32087,Crystalcrusher,12
32087,Death Blob,9
32087,Vashresamun,4
32087,Massive Earth Elemental,3
32087,Earth Elemental,3
32087,Mutated Human,2
32087,Banshee,2
32087,Hyaena,1
32087,Dromedary,1
32087,Acid Blob,1
32156,Blood Crab,247
32156,Thornback Tortoise,192
32156,Tortoise,138
32156,Toad,38
32156,Crimson Frog,10
32156,Azure Frog,9
32156,Crab,8
32156,Orchid Frog,6
32156,Crocodile,6
32156,Coral Frog,5
32156,Wasp,4
32156,Snake,3
32156,Chicken,3
32156,Centipede,1
32492,Vampire Bride,127
32492,Vampire Viscount,112
32492,Vampire,108
32492,Wyvern,19
32492,Bonebeast,12
32492,Necromancer,10
32492,Ghoul,6
32492,Demon Skeleton,5
32492,Skeleton Warrior,4
32492,Snake,3
32492,Fox,2
32492,Wolf,1
32492,Rabbit,1
32492,Poacher,1
32616,Werehyaena,77
32616,Wasp,7
32687,Frazzlemaw,14
32687,Silencer,6
32806,Werehyaena,394
32806,Werehyaena Shaman,147
32838,Mooh'Tah Warrior,63
32838,Worm Priestess,34
32838,Minotaur Hunter,10
32843,Glooth Blob,281
32843,Rot Elemental,273
32843,Blood Beast,216
32843,Quara Predator Scout,178
32843,Devourer,158
32843,Quara Pincher Scout,157
32843,Quara Hydromancer Scout,142
32843,Quara Constrictor Scout,136
32843,Metal Gargoyle,2
33031,Werehyaena,123
33345,Werehyaena,320
33345,Werehyaena Shaman,179
33624,Medusa,163
33624,Souleater,150
33624,Serpent Spawn,142
33624,Eternal Guardian,102
33624,Hydra,101
33624,Tarantula,1
33624,Centipede,1
33624,Carniphila,1
33926,Putrid Mummy,210
33926,Bonebeast,52
33926,Giant Spider,8
33926,Minotaur Archer,4
33926,Minotaur Guard,3
33926,Minotaur,3
33926,Minotaur Mage,2
34426,Barkless Devotee,397
34426,Barkless Fanatic,350
34810,Barbarian Headsplitter,462
34810,Barbarian Skullhunter,385
34810,Barbarian Brutetamer,276
34810,Barbarian Bloodwalker,205
34810,Chicken,36
34810,Ice Witch,6
35573,Werehyaena,1035
35573,Werehyaena Shaman,372
35573,Lich,8
35575,Werehyaena,1020
35575,Werehyaena Shaman,382
35575,Lich,8
35612,Grim Reaper,1478
35657,Grim Reaper,1199
35671,Grim Reaper,990
35728,Grim Reaper,976
35728,Nightmare Scion,1
35728,Nightmare,1
35812,Grim Reaper,1232
35899,Grim Reaper,787
35909,Grim Reaper,306
36523,Breach Brood,257
36523,Reality Reaver,255
36523,Sparkion,248
36523,Dread Intruder,213
37331,Werehyaena,70
37331,Penguin,35
37331,Lamassu,29
37331,Sphinx,24
37331,Wasp,23
37331,Badger,22
37331,Winter Wolf,18
37331,Sandcrawler,13
37331,Crocodile,10
37331,Nomad,8
37331,Cobra,7
37331,Silver Rabbit,7
37331,Mammoth,6
37331,Frost Dragon Hatchling,4
37331,Crab,4
37331,Crystal Spider,3
37331,Frost Dragon,2
37331,Flamingo,2
37331,Scorpion,2
37331,The Bloodtusk,1
37331,Deer,1
37331,Dire Penguin,1
37331,Dromedary,1
37331,Frost Troll,1
37610,Draken Warmaster,299
37610,Draken Spellweaver,240
39090,Pirat Cutthroat,338
39090,Pirat Mate,272
39090,Pirat Bombardier,207
39090,Pirat Scoundrel,187
39090,Feverish Citizen,4
39090,Squirrel,1
39090,Nightmare Scion,1
39208,Instable Breach Brood,261
39208,Instable Sparkion,186
40956,Clay Guardian,101
40956,Omnivora,89
40956,Serpent Spawn,74
40956,Behemoth,61
40956,Medusa,44
40956,Stone Golem,39
40956,Gargoyle,28
40956,Slime,4
41189,Exotic Bat,198
41189,Dragon,127
41189,Exotic Cave Spider,72
41189,Pirat Cutthroat,42
41189,Pirat Scoundrel,39
41189,Dragon Hatchling,29
41189,Minotaur,28
41189,Wasp,23
41189,Minotaur Guard,12
41189,Minotaur Archer,5
41283,Weakened Frazzlemaw,209
41283,Enfeebled Silencer,129
41283,Kroazur,1
41294,Lamassu,28
41294,Sphinx,21
41294,Sandcrawler,11
41294,Cobra,10
41294,Crab,7
41294,Scorpion,4
41294,Crocodile,4
41294,Flamingo,2
41398,Weakened Frazzlemaw,159
41398,Enfeebled Silencer,98
41398,Dark Faun,2
41398,Kroazur,1
41547,Cult Believer,104
41547,Vicious Squire,57
41547,Renegade Knight,49
41547,Vile Grandmaster,20
41547,Cult Enforcer,12
41547,Cult Scholar,5
41551,Cult Believer,104
41551,Vicious Squire,57
41551,Renegade Knight,49
41551,Lamassu,32
41551,Vile Grandmaster,20
41551,Sphinx,19
41551,Sandcrawler,13
41551,Cult Enforcer,12
41551,Cobra,12
41551,Cult Scholar,5
41551,Scorpion,4
41551,Crab,4
41940,Demon,56
41940,Massive Fire Elemental,17
41940,Dark Apprentice,3
41940,Slime,1
41940,Dark Magician,1
42012,Weakened Frazzlemaw,282
42012,Enfeebled Silencer,167
42012,Kroazur,1
42569,Weakened Frazzlemaw,221
42569,Enfeebled Silencer,126
42613,Weakened Frazzlemaw,437
42613,Enfeebled Silencer,243
42613,Boogy,6
42613,Dark Faun,5
42613,Swan Maiden,3
